Korean,English
좋아요,great
안 좋아요,not good
괜찮아요,are you okay
잠깐만요,wait
몰라요,I don't know
미안합니다,I'm sorry
실례합니다,excuse me
천만에요,you're welcome
주세요,please
안녕하세요,hello
아니요,no
네,yes
이거 얼마예요?,how much is it?
마시고 싶어,I want to drink
배고파요,I'm hungry
비상,emergency
경찰,police
조심하세요!,be careful!
호텔,hotel
사랑,love
남자친구,boyfriend
여자친구,girlfriend
보고 싶어,I miss you
좋아해,i like you
아빠,dad
엄마,mom
아들,son
딸,daughter
할아버지,grandfather
남편,husband
아내,wife
시간,hour
오늘,today
어제,yesterday
내일,tomorrow
지금,now
화이팅!,go for it!
헐,omg
언니,sister
형,brother
오빠,brother
아저씨,mister
아줌마,madame
잘자,good night
너 미쳤어?,are you crazy?
하지마,don't
빨리,hurry
세상에,oh my god
케이팝,Kpop
물,water
커피,coffee
맥주,beer
소주,soju
친구,friend
가족,family
집,house
왜,why
천만에요,you're welcome
정말,really
고기,meat
빵,bread
맛있다,delicious
직진,straight
오른쪽,right
왼쪽,left
감사합니다,thank you
알았어요!,ok
사촌,cousin
아이,child
기사,driver
정부,government
학교,school
월요일,Monday
화요일,Tuesday
수요일,Wednesday
목요일,Thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
